timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1668584323845,42,Ростеры для оргюнита,200,,parallel 1 stack,text,true,,26601,311,5,14,https://goodt-pochta-loadqa.goodt.me/api/v1/org-units/146/rosters?from=2022-09-01&to=2022-09-30,41,0,18
1668584310689,16506,Расписание для оргюнита,200,,parallel 1 stack,text,true,,171141,341,1,14,https://goodt-pochta-loadqa.goodt.me/api/v1/schedule-requests?from=2022-09-01&to=2022-09-30&calculated=false&org-unit-ids=136,16501,0,35
1668584310686,18555,1g,200,"Number of samples in transaction : 1, number of failing samples : 0",parallel 1 stack,,true,,391642,1946,1,14,null,18542,-2046,185
1668584327196,4,BeanShell Sampler,200,OK,parallel 2 stack,text,true,,0,0,1,14,null,0,0,0
1668584327195,4,2g,200,"Number of samples in transaction : 1, number of failing samples : 0",parallel 2 stack,,true,,0,0,1,14,null,0,1,0
1668584327300,9,узнаем даты,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,0,0,15,15,null,0,0,0
1668584327310,21,Переход в ОМ,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,2121,198,15,15,https://goodt-pochta-loadqa.goodt.me/schedule-board/147,21,0,18
1668584327331,23,/css/index.min.css,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,517046,197,15,15,https://goodt-pochta-loadqa.goodt.me/css/index.min.css,5,0,0
1668584327354,4,/auth.js,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,4260,187,15,15,https://goodt-pochta-loadqa.goodt.me/auth.js,4,0,0
1668584327358,69,/dist/view-bundled.html,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,1775502,202,15,15,https://goodt-pochta-loadqa.goodt.me/dist/view-bundled.html,3,0,0
1668584327427,5,/jspm_packages/system.js,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,62373,203,15,15,https://goodt-pochta-loadqa.goodt.me/jspm_packages/system.js,4,0,0
1668584327432,7,/config.js,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,154953,189,15,15,https://goodt-pochta-loadqa.goodt.me/config.js,4,0,0
1668584327439,32,/dist/vendor-build.js,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,1080026,200,15,15,https://goodt-pochta-loadqa.goodt.me/dist/vendor-build.js,4,0,0
1668584327471,4,/favicon.ico,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,2121,191,15,15,https://goodt-pochta-loadqa.goodt.me/favicon.ico,4,0,0
1668584327475,46,/dist/app-build.js,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,1895884,197,15,15,https://goodt-pochta-loadqa.goodt.me/dist/app-build.js,4,0,0
