omId,employeeId
76246,825915
74869,648746
74869,644208
74869,645043
74869,644534
84665,1248673
84665,1249878
84665,1354614
84665,1346520
74634,1226240
74634,1226239
68406,1324662
68406,1324357
68406,1324849
68406,1317325
74922,741631
74922,1288893
74922,648771
74922,644191
74922,649247
74953,1185327
74953,1128993
74953,647263
74953,1197657
74953,647750
74953,934124
74953,649117
74953,1190761
74953,645673
74953,646877
74953,943549
74953,647346
74953,646852
74953,1342335
74953,648647
74968,644686
74969,644230
74969,1169329
74969,646385
74969,648385
74969,1304757
74969,1256177
74969,648288
83388,933952
83388,869935
83388,1211977
83388,1346739
83388,1246456
83388,978518
83388,1197227
83388,1325224
83388,1336087
83388,1304555
83388,1125905
75479,648530
75479,647639
75479,644454
75479,648950
75479,1203430
75479,645763
75479,1317193
75479,644035
75479,644800
83772,1311537
83772,837398
83772,837282
83772,837338
83772,1117678
83772,837202
80003,767935
80003,1262375
80003,1181239
80003,1266128
85146,1129605
74987,648049
74987,1125000
74987,647689
75004,643989
75004,772953
75004,647426
75004,734931
75004,646149
75004,1105426
75004,647511
75004,644366
75004,680320
75004,1291857
81574,1281111
81574,1109287
81574,1215243
81574,973624
81574,901785
81574,1213660
81574,1339377
81574,1217114
81574,970725
75045,675420
75045,675329
75045,645148
75045,646532
75047,1307416
75047,648780
75047,647008
75047,646687
75047,645194
75089,645757
75089,813300
75089,1330181
75089,1191482
75089,649566
75089,649052
75089,647964
75089,648510
75089,943105
75089,1202602
75089,1320785
75089,645803
75089,646866
75089,1170046
75089,647098
75089,972483
75089,949082
75089,1209458
75089,645262
75114,644981
75114,645446
75114,645447
75121,1348359
75121,646494
75121,1131050
75121,647647
75121,1265949
75121,646045
75121,1235446
75121,648544
75141,645325
75141,645521
75141,647684
75155,645974
75168,647293
75168,1212249
75168,648774
75168,1344052
75168,647672
75168,862705
75175,1048039
75175,647702
75175,675436
75689,647888
75689,743329
75689,1114855
75689,647571
75689,644080
75689,1339393
75689,648690
75689,1050969
75689,978742
75689,889121
75698,693609
75698,807859
75698,817458
